City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,Northam,51.0333,-4.2167,46.26,87,100,19.44,GB,2/13/2022 23:28
293,Deputatskiy,69.3,139.9,-11.88,94,87,5.21,RU,2/13/2022 23:30
294,Hue,16.4667,107.6,64.51,94,75,9.22,VN,2/13/2022 23:31
295,Hurghada,27.2574,33.8129,60.84,41,0,14.97,EG,2/13/2022 23:31
296,Kayes,14,-11,76.05,13,24,9.17,ML,2/13/2022 23:31
297,Kapoeta,4.7717,33.5903,83.46,29,73,4.18,SS,2/13/2022 23:31
298,Naze,28.3667,129.4833,58.12,85,100,17.92,JP,2/13/2022 23:31
299,Kurchum,48.5722,83.6542,12.56,92,100,1.99,KZ,2/13/2022 23:31
300,Chimore,-16.9833,-65.1333,72.1,95,48,2.75,BO,2/13/2022 23:31
301,Narsaq,60.9167,-46.05,21.42,95,100,3.69,GL,2/13/2022 23:17
302,Shergarh,28.65,79.35,51.01,70,0,3.83,IN,2/13/2022 23:31
303,Tual,-5.6667,132.75,79.66,78,100,3.83,ID,2/13/2022 23:31
304,Andenes,69.3143,16.1194,30.18,64,55,9.22,NO,2/13/2022 23:31
305,Nalut,30.3333,10.85,52.18,30,15,14.72,LY,2/13/2022 23:31
